pokemon,id,species_id,height,weight,base_experience,type_1,type_2,attack,defense,hp,special_attack,special_defense,speed,ability_1,ability_2,ability_hidden,color_1,color_2,color_f,egg_group_1,egg_group_2,url_image,generation_id,evolves_from_species_id,evolution_chain_id,shape_id,shape,pokebase,pokedex
relicanth,408,369,10,234,170,water,rock,90,130,100,45,65,55,swift-swim,rock-head,sturdy,#6890F0,#B8A038,#7B93C3,water1,water2,http://assets.pokemon.com/assets/cms2/img/pokedex/full/369.png,3,NA,189,3,fish,relicanth,http://www.pokemon.com/us/pokedex/relicanth
luvdisc,409,370,6,87,116,water,NA,30,55,43,40,65,97,swift-swim,NA,hydration,#6890F0,NA,NA,water2,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/370.png,3,NA,190,3,fish,luvdisc,http://www.pokemon.com/us/pokedex/luvdisc
bagon,410,371,6,421,60,dragon,NA,75,60,45,40,30,50,rock-head,NA,sheer-force,#7038F8,NA,NA,dragon,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/371.png,3,NA,191,12,humanoid,bagon,http://www.pokemon.com/us/pokedex/bagon
shelgon,411,372,11,1105,147,dragon,NA,95,100,65,60,50,50,rock-head,NA,overcoat,#7038F8,NA,NA,dragon,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/372.png,3,371,191,8,quadruped,shelgon,http://www.pokemon.com/us/pokedex/shelgon
salamence,412,373,15,1026,270,dragon,flying,135,80,95,110,80,100,intimidate,NA,moxie,#7038F8,#A890F0,#7D4DF6,dragon,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/373.png,3,372,191,8,quadruped,salamence,http://www.pokemon.com/us/pokedex/salamence
salamence-mega,413,373,180,1126,315,dragon,flying,145,130,95,120,90,120,aerilate,NA,NA,#7038F8,#A890F0,#7D4DF6,dragon,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/373_f2.png,NA,NA,NA,NA,NA,salamence,http://www.pokemon.com/us/pokedex/salamence
beldum,414,374,6,952,60,steel,psychic,55,80,40,35,60,30,clear-body,NA,light-metal,#B8B8D0,#F85888,#C7A0BE,mineral,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/374.png,3,NA,192,5,blob,beldum,http://www.pokemon.com/us/pokedex/beldum
metang,415,375,12,2025,147,steel,psychic,75,100,60,55,80,50,clear-body,NA,light-metal,#B8B8D0,#F85888,#C7A0BE,mineral,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/375.png,3,374,192,4,arms,metang,http://www.pokemon.com/us/pokedex/metang
metagross,416,376,16,5500,270,steel,psychic,135,130,80,95,90,70,clear-body,NA,light-metal,#B8B8D0,#F85888,#C7A0BE,mineral,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/376.png,3,375,192,11,heads,metagross,http://www.pokemon.com/us/pokedex/metagross
metagross-mega,417,376,250,9429,315,steel,psychic,145,150,80,105,110,110,tough-claws,NA,NA,#B8B8D0,#F85888,#C7A0BE,mineral,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/376_f2.png,NA,NA,NA,NA,NA,metagross,http://www.pokemon.com/us/pokedex/metagross
regirock,418,377,17,2300,261,rock,NA,100,200,80,50,100,50,clear-body,NA,sturdy,#B8A038,NA,NA,no-eggs,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/377.png,3,NA,193,12,humanoid,regirock,http://www.pokemon.com/us/pokedex/regirock
regice,419,378,18,1750,261,ice,NA,50,100,80,100,200,50,clear-body,NA,ice-body,#98D8D8,NA,NA,no-eggs,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/378.png,3,NA,194,12,humanoid,regice,http://www.pokemon.com/us/pokedex/regice
registeel,420,379,19,2050,261,steel,NA,75,150,80,75,150,50,clear-body,NA,light-metal,#B8B8D0,NA,NA,no-eggs,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/379.png,3,NA,195,12,humanoid,registeel,http://www.pokemon.com/us/pokedex/registeel
latias,421,380,14,400,270,dragon,psychic,80,90,80,110,130,110,levitate,NA,NA,#7038F8,#F85888,#903FDC,no-eggs,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/380.png,3,NA,196,9,wings,latias,http://www.pokemon.com/us/pokedex/latias
latias-mega,422,380,18,520,315,dragon,psychic,100,120,80,140,150,110,levitate,NA,NA,#7038F8,#F85888,#903FDC,no-eggs,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/380_f2.png,NA,NA,NA,NA,NA,latias,http://www.pokemon.com/us/pokedex/latias
latios,423,381,20,600,270,dragon,psychic,90,80,80,130,110,110,levitate,NA,NA,#7038F8,#F85888,#903FDC,no-eggs,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/381.png,3,NA,197,9,wings,latios,http://www.pokemon.com/us/pokedex/latios
latios-mega,424,381,23,700,315,dragon,psychic,130,100,80,160,120,110,levitate,NA,NA,#7038F8,#F85888,#903FDC,no-eggs,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/381_f2.png,NA,NA,NA,NA,NA,latios,http://www.pokemon.com/us/pokedex/latios
kyogre,425,382,45,3520,302,water,NA,100,90,100,150,140,90,drizzle,NA,NA,#6890F0,NA,NA,no-eggs,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/382.png,3,NA,198,3,fish,kyogre,http://www.pokemon.com/us/pokedex/kyogre
groudon,426,383,35,9500,302,ground,NA,150,140,100,100,90,90,drought,NA,NA,#E0C068,NA,NA,no-eggs,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/383.png,3,NA,199,6,upright,groudon,http://www.pokemon.com/us/pokedex/groudon
rayquaza,427,384,70,2065,306,dragon,flying,150,90,105,150,90,95,air-lock,NA,NA,#7038F8,#A890F0,#7D4DF6,no-eggs,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/384.png,3,NA,200,2,squiggle,rayquaza,http://www.pokemon.com/us/pokedex/rayquaza
rayquaza-mega,428,384,1080,3920,351,dragon,flying,180,100,105,180,100,115,delta-stream,NA,NA,#7038F8,#A890F0,#7D4DF6,no-eggs,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/384_f2.png,NA,NA,NA,NA,NA,rayquaza,http://www.pokemon.com/us/pokedex/rayquaza
jirachi,429,385,3,11,270,steel,psychic,100,100,100,100,100,100,serene-grace,NA,NA,#B8B8D0,#F85888,#C7A0BE,no-eggs,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/385.png,3,NA,201,12,humanoid,jirachi,http://www.pokemon.com/us/pokedex/jirachi
deoxys-attack,430,386,17,608,270,psychic,NA,180,20,50,180,20,150,pressure,NA,NA,#F85888,NA,NA,no-eggs,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/386.png,NA,NA,NA,NA,NA,deoxys,http://www.pokemon.com/us/pokedex/deoxys
deoxys-defense,431,386,17,608,270,psychic,NA,70,160,50,70,160,90,pressure,NA,NA,#F85888,NA,NA,no-eggs,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/386.png,NA,NA,NA,NA,NA,deoxys,http://www.pokemon.com/us/pokedex/deoxys
deoxys-normal,432,386,17,608,270,psychic,NA,150,50,50,150,50,150,pressure,NA,NA,#F85888,NA,NA,no-eggs,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/386.png,3,NA,202,12,humanoid,deoxys,http://www.pokemon.com/us/pokedex/deoxys
deoxys-speed,433,386,17,608,270,psychic,NA,95,90,50,95,90,180,pressure,NA,NA,#F85888,NA,NA,no-eggs,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/386.png,NA,NA,NA,NA,NA,deoxys,http://www.pokemon.com/us/pokedex/deoxys
turtwig,434,387,4,102,64,grass,NA,68,64,55,45,55,31,overgrow,NA,shell-armor,#78C850,NA,NA,monster,plant,http://assets.pokemon.com/assets/cms2/img/pokedex/full/387.png,4,NA,203,8,quadruped,turtwig,http://www.pokemon.com/us/pokedex/turtwig
grotle,435,388,11,970,142,grass,NA,89,85,75,55,65,36,overgrow,NA,shell-armor,#78C850,NA,NA,monster,plant,http://assets.pokemon.com/assets/cms2/img/pokedex/full/388.png,4,387,203,8,quadruped,grotle,http://www.pokemon.com/us/pokedex/grotle
torterra,436,389,22,3100,236,grass,ground,109,105,95,75,85,56,overgrow,NA,shell-armor,#78C850,#E0C068,#91C655,monster,plant,http://assets.pokemon.com/assets/cms2/img/pokedex/full/389.png,4,388,203,8,quadruped,torterra,http://www.pokemon.com/us/pokedex/torterra
chimchar,437,390,5,62,62,fire,NA,58,44,44,58,44,61,blaze,NA,iron-fist,#F08030,NA,NA,ground,humanshape,http://assets.pokemon.com/assets/cms2/img/pokedex/full/390.png,4,NA,204,6,upright,chimchar,http://www.pokemon.com/us/pokedex/chimchar
monferno,438,391,9,220,142,fire,fighting,78,52,64,78,52,81,blaze,NA,iron-fist,#F08030,#C03028,#E46C2E,ground,humanshape,http://assets.pokemon.com/assets/cms2/img/pokedex/full/391.png,4,390,204,6,upright,monferno,http://www.pokemon.com/us/pokedex/monferno
infernape,439,392,12,550,240,fire,fighting,104,71,76,104,71,108,blaze,NA,iron-fist,#F08030,#C03028,#E46C2E,ground,humanshape,http://assets.pokemon.com/assets/cms2/img/pokedex/full/392.png,4,391,204,6,upright,infernape,http://www.pokemon.com/us/pokedex/infernape
piplup,440,393,4,52,63,water,NA,51,53,53,61,56,40,torrent,NA,defiant,#6890F0,NA,NA,water1,ground,http://assets.pokemon.com/assets/cms2/img/pokedex/full/393.png,4,NA,205,12,humanoid,piplup,http://www.pokemon.com/us/pokedex/piplup
prinplup,441,394,8,230,142,water,NA,66,68,64,81,76,50,torrent,NA,defiant,#6890F0,NA,NA,water1,ground,http://assets.pokemon.com/assets/cms2/img/pokedex/full/394.png,4,393,205,6,upright,prinplup,http://www.pokemon.com/us/pokedex/prinplup
empoleon,442,395,17,845,239,water,steel,86,88,84,111,101,60,torrent,NA,defiant,#6890F0,#B8B8D0,#7B99E8,water1,ground,http://assets.pokemon.com/assets/cms2/img/pokedex/full/395.png,4,394,205,6,upright,empoleon,http://www.pokemon.com/us/pokedex/empoleon
starly,443,396,3,20,49,normal,flying,55,30,40,30,30,60,keen-eye,NA,reckless,#A8A878,#A890F0,#A8A295,flying,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/396.png,4,NA,206,9,wings,starly,http://www.pokemon.com/us/pokedex/starly
staravia,444,397,6,155,119,normal,flying,75,50,55,40,40,80,intimidate,NA,reckless,#A8A878,#A890F0,#A8A295,flying,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/397.png,4,396,206,9,wings,staravia,http://www.pokemon.com/us/pokedex/staravia
staraptor,445,398,12,249,218,normal,flying,120,70,85,50,60,100,intimidate,NA,reckless,#A8A878,#A890F0,#A8A295,flying,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/398.png,4,397,206,9,wings,staraptor,http://www.pokemon.com/us/pokedex/staraptor
bidoof,446,399,5,200,50,normal,NA,45,40,59,35,40,31,simple,unaware,moody,#A8A878,NA,NA,water1,ground,http://assets.pokemon.com/assets/cms2/img/pokedex/full/399.png,4,NA,207,8,quadruped,bidoof,http://www.pokemon.com/us/pokedex/bidoof
bibarel,447,400,10,315,144,normal,water,85,60,79,55,60,71,simple,unaware,moody,#A8A878,#6890F0,#98A295,water1,ground,http://assets.pokemon.com/assets/cms2/img/pokedex/full/400.png,4,399,207,6,upright,bibarel,http://www.pokemon.com/us/pokedex/bibarel
kricketot,448,401,3,22,39,bug,NA,25,41,37,25,41,25,shed-skin,NA,run-away,#A8B820,NA,NA,bug,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/401.png,4,NA,208,12,humanoid,kricketot,http://www.pokemon.com/us/pokedex/kricketot
kricketune,449,402,10,255,134,bug,NA,85,51,77,55,51,65,swarm,NA,technician,#A8B820,NA,NA,bug,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/402.png,4,401,208,13,bug-wings,kricketune,http://www.pokemon.com/us/pokedex/kricketune
shinx,450,403,5,95,53,electric,NA,65,34,45,40,34,45,rivalry,intimidate,guts,#F8D030,NA,NA,ground,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/403.png,4,NA,209,8,quadruped,shinx,http://www.pokemon.com/us/pokedex/shinx
luxio,451,404,9,305,127,electric,NA,85,49,60,60,49,60,rivalry,intimidate,guts,#F8D030,NA,NA,ground,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/404.png,4,403,209,8,quadruped,luxio,http://www.pokemon.com/us/pokedex/luxio
luxray,452,405,14,420,235,electric,NA,120,79,80,95,79,70,rivalry,intimidate,guts,#F8D030,NA,NA,ground,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/405.png,4,404,209,8,quadruped,luxray,http://www.pokemon.com/us/pokedex/luxray
budew,453,406,2,12,56,grass,poison,30,35,40,50,70,55,natural-cure,poison-point,leaf-guard,#78C850,#A040A0,#81A763,no-eggs,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/406.png,4,NA,158,12,humanoid,budew,http://www.pokemon.com/us/pokedex/budew
roserade,454,407,9,145,232,grass,poison,70,65,60,125,105,90,natural-cure,poison-point,technician,#78C850,#A040A0,#81A763,fairy,plant,http://assets.pokemon.com/assets/cms2/img/pokedex/full/407.png,4,315,158,12,humanoid,roserade,http://www.pokemon.com/us/pokedex/roserade
cranidos,455,408,9,315,70,rock,NA,125,40,67,30,30,58,mold-breaker,NA,sheer-force,#B8A038,NA,NA,monster,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/408.png,4,NA,211,6,upright,cranidos,http://www.pokemon.com/us/pokedex/cranidos
rampardos,456,409,16,1025,173,rock,NA,165,60,97,65,50,58,mold-breaker,NA,sheer-force,#B8A038,NA,NA,monster,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/409.png,4,408,211,6,upright,rampardos,http://www.pokemon.com/us/pokedex/rampardos
shieldon,457,410,5,570,70,rock,steel,42,118,30,42,88,30,sturdy,NA,soundproof,#B8A038,#B8B8D0,#B8A55C,monster,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/410.png,4,NA,212,8,quadruped,shieldon,http://www.pokemon.com/us/pokedex/shieldon
bastiodon,458,411,13,1495,173,rock,steel,52,168,60,47,138,30,sturdy,NA,soundproof,#B8A038,#B8B8D0,#B8A55C,monster,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/411.png,4,410,212,8,quadruped,bastiodon,http://www.pokemon.com/us/pokedex/bastiodon
burmy,459,412,2,34,45,bug,NA,29,45,40,29,45,36,shed-skin,NA,overcoat,#A8B820,NA,NA,bug,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/412.png,4,NA,213,2,squiggle,burmy,http://www.pokemon.com/us/pokedex/burmy
wormadam-plant,460,413,5,65,148,bug,grass,59,85,60,79,105,36,anticipation,NA,overcoat,#A8B820,#78C850,#9CBB2B,bug,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/413.png,4,412,213,2,squiggle,wormadam,http://www.pokemon.com/us/pokedex/wormadam
wormadam-sandy,461,413,5,65,148,bug,ground,79,105,60,59,85,36,anticipation,NA,overcoat,#A8B820,#E0C068,#B5B931,bug,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/413.png,NA,NA,NA,NA,NA,wormadam,http://www.pokemon.com/us/pokedex/wormadam
wormadam-trash,462,413,5,65,148,bug,steel,69,95,60,69,95,36,anticipation,NA,overcoat,#A8B820,#B8B8D0,#ABB84A,bug,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/413.png,NA,NA,NA,NA,NA,wormadam,http://www.pokemon.com/us/pokedex/wormadam
mothim,463,414,9,233,148,bug,flying,94,50,70,94,50,66,swarm,NA,tinted-lens,#A8B820,#A890F0,#A8AE52,bug,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/414.png,4,412,213,13,bug-wings,mothim,http://www.pokemon.com/us/pokedex/mothim
combee,464,415,3,55,49,bug,flying,30,42,30,30,42,70,honey-gather,NA,hustle,#A8B820,#A890F0,#A8AE52,bug,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/415.png,4,NA,214,11,heads,combee,http://www.pokemon.com/us/pokedex/combee
vespiquen,465,416,12,385,166,bug,flying,80,102,70,80,102,40,pressure,NA,unnerve,#A8B820,#A890F0,#A8AE52,bug,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/416.png,4,415,214,9,wings,vespiquen,http://www.pokemon.com/us/pokedex/vespiquen
pachirisu,466,417,4,39,142,electric,NA,45,70,60,45,90,95,run-away,pickup,volt-absorb,#F8D030,NA,NA,ground,fairy,http://assets.pokemon.com/assets/cms2/img/pokedex/full/417.png,4,NA,215,8,quadruped,pachirisu,http://www.pokemon.com/us/pokedex/pachirisu
buizel,467,418,7,295,66,water,NA,65,35,55,60,30,85,swift-swim,NA,water-veil,#6890F0,NA,NA,water1,ground,http://assets.pokemon.com/assets/cms2/img/pokedex/full/418.png,4,NA,216,8,quadruped,buizel,http://www.pokemon.com/us/pokedex/buizel
floatzel,468,419,11,335,173,water,NA,105,55,85,85,50,115,swift-swim,NA,water-veil,#6890F0,NA,NA,water1,ground,http://assets.pokemon.com/assets/cms2/img/pokedex/full/419.png,4,418,216,8,quadruped,floatzel,http://www.pokemon.com/us/pokedex/floatzel
cherubi,469,420,4,33,55,grass,NA,35,45,45,62,53,35,chlorophyll,NA,NA,#78C850,NA,NA,fairy,plant,http://assets.pokemon.com/assets/cms2/img/pokedex/full/420.png,4,NA,217,11,heads,cherubi,http://www.pokemon.com/us/pokedex/cherubi
cherrim,470,421,5,93,158,grass,NA,60,70,70,87,78,85,flower-gift,NA,NA,#78C850,NA,NA,fairy,plant,http://assets.pokemon.com/assets/cms2/img/pokedex/full/421.png,4,420,217,7,legs,cherrim,http://www.pokemon.com/us/pokedex/cherrim
shellos,471,422,3,63,65,water,NA,48,48,76,57,62,34,sticky-hold,storm-drain,sand-force,#6890F0,NA,NA,water1,indeterminate,http://assets.pokemon.com/assets/cms2/img/pokedex/full/422.png,4,NA,218,14,armor,shellos,http://www.pokemon.com/us/pokedex/shellos
gastrodon,472,423,9,299,166,water,ground,83,68,111,92,82,39,sticky-hold,storm-drain,sand-force,#6890F0,#E0C068,#859BCF,water1,indeterminate,http://assets.pokemon.com/assets/cms2/img/pokedex/full/423.png,4,422,218,14,armor,gastrodon,http://www.pokemon.com/us/pokedex/gastrodon
ambipom,473,424,12,203,169,normal,NA,100,66,75,60,66,115,technician,pickup,skill-link,#A8A878,NA,NA,ground,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/424.png,4,190,93,6,upright,ambipom,http://www.pokemon.com/us/pokedex/ambipom
drifloon,474,425,4,12,70,ghost,flying,50,34,90,60,44,70,aftermath,unburden,flare-boost,#705898,#A890F0,#7D65AD,indeterminate,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/425.png,4,NA,219,4,arms,drifloon,http://www.pokemon.com/us/pokedex/drifloon
drifblim,475,426,12,150,174,ghost,flying,80,44,150,90,54,80,aftermath,unburden,flare-boost,#705898,#A890F0,#7D65AD,indeterminate,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/426.png,4,425,219,4,arms,drifblim,http://www.pokemon.com/us/pokedex/drifblim
buneary,476,427,4,55,70,normal,NA,66,44,55,44,56,85,run-away,klutz,limber,#A8A878,NA,NA,ground,humanshape,http://assets.pokemon.com/assets/cms2/img/pokedex/full/427.png,4,NA,220,6,upright,buneary,http://www.pokemon.com/us/pokedex/buneary
lopunny,477,428,12,333,168,normal,NA,76,84,65,54,96,105,cute-charm,klutz,limber,#A8A878,NA,NA,ground,humanshape,http://assets.pokemon.com/assets/cms2/img/pokedex/full/428.png,4,427,220,6,upright,lopunny,http://www.pokemon.com/us/pokedex/lopunny
lopunny-mega,478,428,130,283,203,normal,fighting,136,94,65,54,96,135,scrappy,NA,NA,#A8A878,#C03028,#AD8A64,ground,humanshape,http://assets.pokemon.com/assets/cms2/img/pokedex/full/428_f2.png,NA,NA,NA,NA,NA,lopunny,http://www.pokemon.com/us/pokedex/lopunny
mismagius,479,429,9,44,173,ghost,NA,60,60,60,105,105,105,levitate,NA,NA,#705898,NA,NA,indeterminate,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/429.png,4,200,98,1,ball,mismagius,http://www.pokemon.com/us/pokedex/mismagius
honchkrow,480,430,9,273,177,dark,flying,125,52,100,105,52,71,insomnia,super-luck,moxie,#705848,#A890F0,#7D6570,flying,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/430.png,4,198,97,9,wings,honchkrow,http://www.pokemon.com/us/pokedex/honchkrow
glameow,481,431,5,39,62,normal,NA,55,42,49,42,37,85,limber,own-tempo,keen-eye,#A8A878,NA,NA,ground,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/431.png,4,NA,221,8,quadruped,glameow,http://www.pokemon.com/us/pokedex/glameow
purugly,482,432,10,438,158,normal,NA,82,64,71,64,59,112,thick-fat,own-tempo,defiant,#A8A878,NA,NA,ground,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/432.png,4,431,221,8,quadruped,purugly,http://www.pokemon.com/us/pokedex/purugly
chingling,483,433,2,6,57,psychic,NA,30,50,45,65,50,45,levitate,NA,NA,#F85888,NA,NA,no-eggs,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/433.png,4,NA,184,12,humanoid,chingling,http://www.pokemon.com/us/pokedex/chingling
stunky,484,434,4,192,66,poison,dark,63,47,63,41,41,74,stench,aftermath,keen-eye,#A040A0,#705848,#94458A,ground,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/434.png,4,NA,223,8,quadruped,stunky,http://www.pokemon.com/us/pokedex/stunky
skuntank,485,435,10,380,168,poison,dark,93,67,103,71,61,84,stench,aftermath,keen-eye,#A040A0,#705848,#94458A,ground,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/435.png,4,434,223,8,quadruped,skuntank,http://www.pokemon.com/us/pokedex/skuntank
bronzor,486,436,5,605,60,steel,psychic,24,86,57,24,86,23,levitate,heatproof,heavy-metal,#B8B8D0,#F85888,#C7A0BE,mineral,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/436.png,4,NA,224,1,ball,bronzor,http://www.pokemon.com/us/pokedex/bronzor
bronzong,487,437,13,1870,175,steel,psychic,89,116,67,79,116,33,levitate,heatproof,heavy-metal,#B8B8D0,#F85888,#C7A0BE,mineral,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/437.png,4,436,224,4,arms,bronzong,http://www.pokemon.com/us/pokedex/bronzong
bonsly,488,438,5,150,58,rock,NA,80,95,50,10,45,10,sturdy,rock-head,rattled,#B8A038,NA,NA,no-eggs,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/438.png,4,NA,91,7,legs,bonsly,http://www.pokemon.com/us/pokedex/bonsly
mime-jr,489,439,6,130,62,psychic,fairy,25,45,20,70,90,60,soundproof,filter,technician,#F85888,#EE99AC,#F56790,no-eggs,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/439.png,4,NA,57,12,humanoid,mime-jr,http://www.pokemon.com/us/pokedex/mime-jr
happiny,490,440,6,244,110,normal,NA,5,5,100,15,65,30,natural-cure,serene-grace,friend-guard,#A8A878,NA,NA,no-eggs,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/440.png,4,NA,51,12,humanoid,happiny,http://www.pokemon.com/us/pokedex/happiny
chatot,491,441,5,19,144,normal,flying,65,45,76,92,42,91,keen-eye,tangled-feet,big-pecks,#A8A878,#A890F0,#A8A295,flying,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/441.png,4,NA,228,9,wings,chatot,http://www.pokemon.com/us/pokedex/chatot
spiritomb,492,442,10,1080,170,ghost,dark,92,108,50,92,108,35,pressure,NA,infiltrator,#705898,#705848,#705884,indeterminate,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/442.png,4,NA,229,5,blob,spiritomb,http://www.pokemon.com/us/pokedex/spiritomb
gible,493,443,7,205,60,dragon,ground,70,45,58,40,45,42,sand-veil,NA,rough-skin,#7038F8,#E0C068,#8B58D5,monster,dragon,http://assets.pokemon.com/assets/cms2/img/pokedex/full/443.png,4,NA,230,6,upright,gible,http://www.pokemon.com/us/pokedex/gible
gabite,494,444,14,560,144,dragon,ground,90,65,68,50,55,82,sand-veil,NA,rough-skin,#7038F8,#E0C068,#8B58D5,monster,dragon,http://assets.pokemon.com/assets/cms2/img/pokedex/full/444.png,4,443,230,6,upright,gabite,http://www.pokemon.com/us/pokedex/gabite
garchomp,495,445,19,950,270,dragon,ground,130,95,108,80,85,102,sand-veil,NA,rough-skin,#7038F8,#E0C068,#8B58D5,monster,dragon,http://assets.pokemon.com/assets/cms2/img/pokedex/full/445.png,4,444,230,6,upright,garchomp,http://www.pokemon.com/us/pokedex/garchomp
garchomp-mega,496,445,19,950,315,dragon,ground,170,115,108,120,95,92,sand-force,NA,NA,#7038F8,#E0C068,#8B58D5,monster,dragon,http://assets.pokemon.com/assets/cms2/img/pokedex/full/445_f2.png,NA,NA,NA,NA,NA,garchomp,http://www.pokemon.com/us/pokedex/garchomp
munchlax,497,446,6,1050,78,normal,NA,85,40,135,40,85,5,pickup,thick-fat,gluttony,#A8A878,NA,NA,no-eggs,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/446.png,4,NA,72,12,humanoid,munchlax,http://www.pokemon.com/us/pokedex/munchlax
riolu,498,447,7,202,57,fighting,NA,70,40,40,35,40,60,steadfast,inner-focus,prankster,#C03028,NA,NA,no-eggs,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/447.png,4,NA,232,6,upright,riolu,http://www.pokemon.com/us/pokedex/riolu
lucario,499,448,12,540,184,fighting,steel,110,70,70,115,70,90,steadfast,inner-focus,justified,#C03028,#B8B8D0,#BE5050,ground,humanshape,http://assets.pokemon.com/assets/cms2/img/pokedex/full/448.png,4,447,232,6,upright,lucario,http://www.pokemon.com/us/pokedex/lucario
lucario-mega,500,448,13,575,219,fighting,steel,145,88,70,140,70,112,adaptability,NA,NA,#C03028,#B8B8D0,#BE5050,ground,humanshape,http://assets.pokemon.com/assets/cms2/img/pokedex/full/448_f2.png,NA,NA,NA,NA,NA,lucario,http://www.pokemon.com/us/pokedex/lucario
hippopotas,501,449,8,495,66,ground,NA,72,78,68,38,42,32,sand-stream,NA,sand-force,#E0C068,NA,NA,ground,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/449.png,4,NA,233,8,quadruped,hippopotas,http://www.pokemon.com/us/pokedex/hippopotas
hippowdon,502,450,20,3000,184,ground,NA,112,118,108,68,72,47,sand-stream,NA,sand-force,#E0C068,NA,NA,ground,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/450.png,4,449,233,8,quadruped,hippowdon,http://www.pokemon.com/us/pokedex/hippowdon
skorupi,503,451,8,120,66,poison,bug,50,90,40,30,55,65,battle-armor,sniper,keen-eye,#A040A0,#A8B820,#A15D80,bug,water3,http://assets.pokemon.com/assets/cms2/img/pokedex/full/451.png,4,NA,234,14,armor,skorupi,http://www.pokemon.com/us/pokedex/skorupi
drapion,504,452,13,615,175,poison,dark,90,110,70,60,75,95,battle-armor,sniper,keen-eye,#A040A0,#705848,#94458A,bug,water3,http://assets.pokemon.com/assets/cms2/img/pokedex/full/452.png,4,451,234,14,armor,drapion,http://www.pokemon.com/us/pokedex/drapion
